      IRop|    Basety|    result|      arg1|      arg2|
   G_Alloc|       int|        @0|          |          |
   G_Alloc|       int|        @1|#0,3,4,5,8,9,10,11,13,15,19,20,21,24,31,33,34,40,45,46,55,57,58,59,64,66,67,73,75,77,79,80,82,86,90,93,95,96,102,108,110,111,114,117,118,119,124,130,133,138,149,153,156,157,164,165,166,167,171,172,181,182,187,188,192,204,207,210,211,213,214,215,217,219,220,222,224,225,227,229,230,231,239,241,243,244,247,248,250,252,253,260,262,264,265,270,272,278,282,286,287,288,289,291,294,298,300,312,313,314,317,319,320,322,323,324,326,331,334,338,340,342,343,345,348,357,367,370,372,373,375,377,379,381,382,386,387,390,391,401,402,404,406,409,416,417,426,432,433,436,438,439,441,446,449,450,453,457,458,460,466,472,475,483,485,487,488,491,492,493,494,495,498,500,502,504,507,510,511,513,516,517,519,520,521,526,528,535,540,542,547,551,554,564,566,569,574,577,591,593,598,602,603,605,610,611,616,617,619,623,624,625,629,633,639,643,645,646,647,648,649,652,658,659,662,663,664,669,672,679,680,685,692,701,704,705,707,708,710,713,728,732,733,735,737,741,742,744,749,752,762,763,764,765,767,771,773,776,777,780,781,782,787,793,796,797,|          |
Func Begin|   unknown|lenLongestFibSubseq|          |          |
   L_Alloc|       int|        ^1|       #1,|          |
   L_Alloc|       int|        ^2|       #0,|          |
       BLT|       int|        L2|        ^1|        ^0|
         J|   unknown|        L1|          |          |
     Label|   unknown|        L2|          |          |
   L_Alloc|       int|        ^3|          |          |
   L_Alloc|       int|        %0|          |          |
       ADD|       int|        %0|        ^1|        #1|
    ASSIGN|       int|        ^3|        %0|          |
       BLT|       int|        L6|        ^3|        ^0|
         J|   unknown|        L5|          |          |
     Label|   unknown|        L6|          |          |
   L_Alloc|       int|        %1|          |          |
       SLL|       int|        %1|        ^3|        #2|
   L_Alloc|       int|        %2|          |          |
       SLL|       int|        %2|        ^1|        #2|
   L_Alloc|       int|        %3|          |          |
       SLL|       int|        %3|     @1<%2|        #1|
       BGT|       int|        L5|     @1<%1|        %3|
         J|   unknown|        L8|          |          |
     Label|   unknown|        L8|          |          |
   L_Alloc|       int|        ^4|          |          |
   L_Alloc|       int|        ^5|          |          |
   L_Alloc|       int|        ^6|          |          |
   L_Alloc|       int|        ^7|          |          |
   L_Alloc|       int|        ^8|          |          |
   L_Alloc|       int|        %4|          |          |
       SLL|       int|        %4|        ^3|        #2|
   L_Alloc|       int|        %5|          |          |
       SLL|       int|        %5|        ^1|        #2|
   L_Alloc|       int|        %6|          |          |
       SUB|       int|        %6|     @1<%4|     @1<%5|
    ASSIGN|       int|        ^4|        %6|          |
    ASSIGN|       int|        ^5|        #0|          |
   L_Alloc|       int|        %7|          |          |
       SUB|       int|        %7|        ^1|        #1|
    ASSIGN|       int|        ^6|        %7|          |
    ASSIGN|       int|        ^7|       #-1|          |
       BLE|       int|       L13|        ^5|        ^6|
       BGE|       int|       L24|        ^7|        #0|
         J|   unknown|       L23|          |          |
     Label|   unknown|       L13|          |          |
   L_Alloc|       int|        %8|          |          |
       SUB|       int|        %8|        ^6|        ^5|
   L_Alloc|       int|        %9|          |          |
       SRA|       int|        %9|        %8|        #1|
   L_Alloc|       int|       %10|          |          |
       ADD|       int|       %10|        %9|        ^5|
    ASSIGN|       int|        ^8|       %10|          |
   L_Alloc|       int|       %11|          |          |
       SLL|       int|       %11|        ^8|        #2|
       BEQ|       int|       L16|    @1<%11|        ^4|
         J|   unknown|       L17|          |          |
     Label|   unknown|       L16|          |          |
    ASSIGN|       int|        ^7|        ^8|          |
       BGE|       int|       L24|        ^7|        #0|
         J|   unknown|       L23|          |          |
       BLE|       int|       L13|        ^5|        ^6|
       BGE|       int|       L24|        ^7|        #0|
         J|   unknown|       L23|          |          |
     Label|   unknown|       L17|          |          |
   L_Alloc|       int|       %12|          |          |
       SLL|       int|       %12|        ^8|        #2|
       BLT|       int|       L20|    @1<%12|        ^4|
         J|   unknown|       L21|          |          |
     Label|   unknown|       L20|          |          |
   L_Alloc|       int|       %13|          |          |
       ADD|       int|       %13|        ^8|        #1|
    ASSIGN|       int|        ^5|       %13|          |
         J|   unknown|       L19|          |          |
     Label|   unknown|       L21|          |          |
